100050 silly lifecycle fs.realpath@1.0.0~preinstall: no script for preinstall, continuing
106075 verbose linkMans readable-stream@2.2.6
106076 silly build streamfilter@1.0.5
106077 info linkStuff streamfilter@1.0.5
106078 silly linkStuff streamfilter@1.0.5 has /www/lifecockpit/node_modules as its parent node_modules
106079 verbose linkBins streamfilter@1.0.5
106080 verbose linkMans streamfilter@1.0.5
106081 silly build readable-stream@2.2.6
106082 info linkStuff readable-stream@2.2.6
106083 silly linkStuff readable-stream@2.2.6 has /www/lifecockpit/node_modules/strip-bom-stream/node_modules as its parent node_modules
106084 verbose linkBins readable-stream@2.2.6
106085 verbose linkMans readable-stream@2.2.6
106086 silly build first-chunk-stream@2.0.0
106087 info linkStuff first-chunk-stream@2.0.0
106088 silly linkStuff first-chunk-stream@2.0.0 has /www/lifecockpit/node_modules/strip-bom-stream/node_modules as its parent node_modules
106089 verbose linkBins first-chunk-stream@2.0.0
106090 verbose linkMans first-chunk-stream@2.0.0
106091 silly build strip-bom-stream@2.0.0
106092 info linkStuff strip-bom-stream@2.0.0
106093 silly linkStuff strip-bom-stream@2.0.0 has /www/lifecockpit/node_modules as its parent node_modules
106094 verbose linkBins strip-bom-stream@2.0.0
106095 verbose linkMans strip-bom-stream@2.0.0
106096 silly build readable-stream@2.2.6
106097 info linkStuff readable-stream@2.2.6
106098 silly linkStuff readable-stream@2.2.6 has /www/lifecockpit/node_modules/through2/node_modules as its parent node_modules
106099 verbose linkBins readable-stream@2.2.6
106100 verbose linkMans readable-stream@2.2.6
106101 silly build inherits@2.0.1
106102 info linkStuff inherits@2.0.1
106103 silly linkStuff inherits@2.0.1 has /www/lifecockpit/node_modules/util/node_modules as its parent node_modules
106104 verbose linkBins inherits@2.0.1
106105 verbose linkMans inherits@2.0.1
106106 silly build util@0.10.3
106107 info linkStuff util@0.10.3
106108 silly linkStuff util@0.10.3 has /www/lifecockpit/node_modules as its parent node_modules
106109 verbose linkBins util@0.10.3
106110 verbose linkMans util@0.10.3
106111 silly build assert@1.4.1
106112 info linkStuff assert@1.4.1
106113 silly linkStuff assert@1.4.1 has /www/lifecockpit/node_modules as its parent node_modules
106114 verbose linkBins assert@1.4.1
106115 verbose linkMans assert@1.4.1
106116 silly build path@0.12.7
106117 info linkStuff path@0.12.7
106118 silly linkStuff path@0.12.7 has /www/lifecockpit/node_modules as its parent node_modules
106119 verbose linkBins path@0.12.7
106120 verbose linkMans path@0.12.7
106121 silly build uuid@3.0.1
106122 info linkStuff uuid@3.0.1
106123 silly linkStuff uuid@3.0.1 has /www/lifecockpit/node_modules as its parent node_modules
106124 verbose linkBins uuid@3.0.1
106125 verbose link bins [ { uuid: './bin/uuid' },
106125 verbose link bins   '/www/lifecockpit/node_modules/.bin',
106125 verbose link bins   false ]
106126 verbose linkMans uuid@3.0.1
106127 silly build v8flags@2.0.12
106128 info linkStuff v8flags@2.0.12
106129 silly linkStuff v8flags@2.0.12 has /www/lifecockpit/node_modules as its parent node_modules
106130 verbose linkBins v8flags@2.0.12
106131 verbose linkMans v8flags@2.0.12
106132 silly build validate-npm-package-license@3.0.1
106133 info linkStuff validate-npm-package-license@3.0.1
106134 silly linkStuff validate-npm-package-license@3.0.1 has /www/lifecockpit/node_modules as its parent node_modules
106135 verbose linkBins validate-npm-package-license@3.0.1
106136 verbose linkMans validate-npm-package-license@3.0.1
106137 silly build normalize-package-data@2.3.6
106138 info linkStuff normalize-package-data@2.3.6
106139 silly linkStuff normalize-package-data@2.3.6 has /www/lifecockpit/node_modules as its parent node_modules
106140 verbose linkBins normalize-package-data@2.3.6
106141 verbose linkMans normalize-package-data@2.3.6
106142 silly build read-pkg@1.1.0
106143 info linkStuff read-pkg@1.1.0
106144 silly linkStuff read-pkg@1.1.0 has /www/lifecockpit/node_modules as its parent node_modules
106145 verbose linkBins read-pkg@1.1.0
106146 verbose linkMans read-pkg@1.1.0
106147 silly build read-pkg-up@1.0.1
106148 info linkStuff read-pkg-up@1.0.1
106149 silly linkStuff read-pkg-up@1.0.1 has /www/lifecockpit/node_modules as its parent node_modules
106150 verbose linkBins read-pkg-up@1.0.1
106151 verbose linkMans read-pkg-up@1.0.1
106152 silly build meow@3.7.0
106153 info linkStuff meow@3.7.0
106154 silly linkStuff meow@3.7.0 has /www/lifecockpit/node_modules as its parent node_modules
106155 verbose linkBins meow@3.7.0
106156 verbose linkMans meow@3.7.0
106157 silly build dateformat@1.0.12
106158 info linkStuff dateformat@1.0.12
106159 silly linkStuff dateformat@1.0.12 has /www/lifecockpit/node_modules/gulp-clone/node_modules as its parent node_modules
106160 verbose linkBins dateformat@1.0.12
106161 verbose link bins [ { dateformat: 'bin/cli.js' },
106161 verbose link bins   '/www/lifecockpit/node_modules/gulp-clone/node_modules/.bin',
106161 verbose link bins   false ]
106162 verbose linkMans dateformat@1.0.12
106163 silly gentlyRm /www/lifecockpit/node_modules/gulp-clone/node_modules/.bin/dateformat is being purged
106164 verbose gentlyRm don't care about contents; nuking /www/lifecockpit/node_modules/gulp-clone/node_modules/.bin/dateformat
106165 silly build gulp-util@2.2.20
106166 info linkStuff gulp-util@2.2.20
106167 silly linkStuff gulp-util@2.2.20 has /www/lifecockpit/node_modules/gulp-clone/node_modules as its parent node_modules
106168 verbose linkBins gulp-util@2.2.20
106169 verbose linkMans gulp-util@2.2.20
106170 silly build gulp-clone@1.0.0
106171 info linkStuff gulp-clone@1.0.0
106172 silly linkStuff gulp-clone@1.0.0 has /www/lifecockpit/node_modules as its parent node_modules
106173 verbose linkBins gulp-clone@1.0.0
106174 verbose linkMans gulp-clone@1.0.0
106175 silly build vendors@1.0.1
106176 info linkStuff vendors@1.0.1
106177 silly linkStuff vendors@1.0.1 has /www/lifecockpit/node_modules as its parent node_modules
106178 verbose linkBins vendors@1.0.1
106179 verbose linkMans vendors@1.0.1
106180 silly build postcss-merge-rules@2.1.2
106181 info linkStuff postcss-merge-rules@2.1.2
106182 silly linkStuff postcss-merge-rules@2.1.2 has /www/lifecockpit/node_modules as its parent node_modules
106183 verbose linkBins postcss-merge-rules@2.1.2
106184 verbose linkMans postcss-merge-rules@2.1.2
106185 silly build verror@1.3.6
106186 info linkStuff verror@1.3.6
106187 silly linkStuff verror@1.3.6 has /www/lifecockpit/node_modules as its parent node_modules
106188 verbose linkBins verror@1.3.6
106189 verbose linkMans verror@1.3.6
106190 silly build jsprim@1.4.0
106191 info linkStuff jsprim@1.4.0
106192 silly linkStuff jsprim@1.4.0 has /www/lifecockpit/node_modules as its parent node_modules
106193 verbose linkBins jsprim@1.4.0
106194 verbose linkMans jsprim@1.4.0
106195 silly build http-signature@1.1.1
106196 info linkStuff http-signature@1.1.1
106197 silly linkStuff http-signature@1.1.1 has /www/lifecockpit/node_modules as its parent node_modules
106198 verbose linkBins http-signature@1.1.1
106199 verbose linkMans http-signature@1.1.1
106200 silly build request@2.81.0
106201 info linkStuff request@2.81.0
106202 silly linkStuff request@2.81.0 has /www/lifecockpit/node_modules as its parent node_modules
106203 verbose linkBins request@2.81.0
106204 verbose linkMans request@2.81.0
106205 silly build less@2.7.2
106206 info linkStuff less@2.7.2
106207 silly linkStuff less@2.7.2 has /www/lifecockpit/node_modules as its parent node_modules
106208 verbose linkBins less@2.7.2
106209 verbose link bins [ { lessc: './bin/lessc' },
106209 verbose link bins   '/www/lifecockpit/node_modules/.bin',
106209 verbose link bins   false ]
106210 verbose linkMans less@2.7.2
106211 silly build vinyl@0.5.3
106212 info linkStuff vinyl@0.5.3
106213 silly linkStuff vinyl@0.5.3 has /www/lifecockpit/node_modules as its parent node_modules
106214 verbose linkBins vinyl@0.5.3
106215 verbose linkMans vinyl@0.5.3
106216 silly build graceful-fs@4.1.11
106217 info linkStuff graceful-fs@4.1.11
106218 silly linkStuff graceful-fs@4.1.11 has /www/lifecockpit/node_modules/vinyl-file/node_modules as its parent node_modules
106219 verbose linkBins graceful-fs@4.1.11
106220 verbose linkMans graceful-fs@4.1.11
106221 silly build strip-bom@2.0.0
106222 info linkStuff strip-bom@2.0.0
106223 silly linkStuff strip-bom@2.0.0 has /www/lifecockpit/node_modules/vinyl-file/node_modules as its parent node_modules
106224 verbose linkBins strip-bom@2.0.0
106225 verbose linkMans strip-bom@2.0.0
106226 silly build vinyl@1.2.0
106227 info linkStuff vinyl@1.2.0
106228 silly linkStuff vinyl@1.2.0 has /www/lifecockpit/node_modules/vinyl-file/node_modules as its parent node_modules
106229 verbose linkBins vinyl@1.2.0
106230 verbose linkMans vinyl@1.2.0
106231 silly build vinyl-file@2.0.0
106232 info linkStuff vinyl-file@2.0.0
106233 silly linkStuff vinyl-file@2.0.0 has /www/lifecockpit/node_modules as its parent node_modules
106234 verbose linkBins vinyl-file@2.0.0
106235 verbose linkMans vinyl-file@2.0.0
106236 silly build clone@0.2.0
106237 info linkStuff clone@0.2.0
106238 silly linkStuff clone@0.2.0 has /www/lifecockpit/node_modules/vinyl-fs/node_modules as its parent node_modules
106239 verbose linkBins clone@0.2.0
106240 verbose linkMans clone@0.2.0
106241 silly build readable-stream@1.0.34
106242 info linkStuff readable-stream@1.0.34
106243 silly linkStuff readable-stream@1.0.34 has /www/lifecockpit/node_modules/vinyl-fs/node_modules as its parent node_modules
106244 verbose linkBins readable-stream@1.0.34
106245 verbose linkMans readable-stream@1.0.34
106246 silly build vinyl@0.4.6
106247 info linkStuff vinyl@0.4.6
106248 silly linkStuff vinyl@0.4.6 has /www/lifecockpit/node_modules/vinyl-fs/node_modules as its parent node_modules
106249 verbose linkBins vinyl@0.4.6
106250 verbose linkMans vinyl@0.4.6
106251 silly build vinyl-sourcemaps-apply@0.2.1
106252 info linkStuff vinyl-sourcemaps-apply@0.2.1
106253 silly linkStuff vinyl-sourcemaps-apply@0.2.1 has /www/lifecockpit/node_modules as its parent node_modules
106254 verbose linkBins vinyl-sourcemaps-apply@0.2.1
106255 verbose linkMans vinyl-sourcemaps-apply@0.2.1
106256 silly build vlq@0.2.1
106257 info linkStuff vlq@0.2.1
106258 silly linkStuff vlq@0.2.1 has /www/lifecockpit/node_modules as its parent node_modules
106259 verbose linkBins vlq@0.2.1
106260 verbose linkMans vlq@0.2.1
106261 silly build magic-string@0.14.0
106262 info linkStuff magic-string@0.14.0
106263 silly linkStuff magic-string@0.14.0 has /www/lifecockpit/node_modules as its parent node_modules
106264 verbose linkBins magic-string@0.14.0
106265 verbose linkMans magic-string@0.14.0
106266 silly build buble@0.12.5
106267 info linkStuff buble@0.12.5
106268 silly linkStuff buble@0.12.5 has /www/lifecockpit/node_modules as its parent node_modules
106269 verbose linkBins buble@0.12.5
106270 verbose link bins [ { buble: './bin/buble' },
106270 verbose link bins   '/www/lifecockpit/node_modules/.bin',
106270 verbose link bins   false ]
106271 verbose linkMans buble@0.12.5
106272 silly gentlyRm /www/lifecockpit/node_modules/.bin/buble is being purged
106273 verbose gentlyRm don't care about contents; nuking /www/lifecockpit/node_modules/.bin/buble
106274 silly build vm-browserify@0.0.4
106275 info linkStuff vm-browserify@0.0.4
106276 silly linkStuff vm-browserify@0.0.4 has /www/lifecockpit/node_modules as its parent node_modules
106277 verbose linkBins vm-browserify@0.0.4
106278 verbose linkMans vm-browserify@0.0.4
106279 silly build vue-hot-reload-api@1.3.3
106280 info linkStuff vue-hot-reload-api@1.3.3
106281 silly linkStuff vue-hot-reload-api@1.3.3 has /www/lifecockpit/node_modules as its parent node_modules
106282 verbose linkBins vue-hot-reload-api@1.3.3
106283 verbose linkMans vue-hot-reload-api@1.3.3
106284 silly build loader-utils@1.1.0
106285 info linkStuff loader-utils@1.1.0
106286 silly linkStuff loader-utils@1.1.0 has /www/lifecockpit/node_modules/vue-html-loader/node_modules as its parent node_modules
106287 verbose linkBins loader-utils@1.1.0
106288 verbose linkMans loader-utils@1.1.0
106289 silly build postcss-selector-parser@1.3.3
106290 info linkStuff postcss-selector-parser@1.3.3
106291 silly linkStuff postcss-selector-parser@1.3.3 has /www/lifecockpit/node_modules/vue-loader/node_modules as its parent node_modules
106292 verbose linkBins postcss-selector-parser@1.3.3
106293 verbose linkMans postcss-selector-parser@1.3.3
106294 silly build vue-style-loader@1.0.0
106295 info linkStuff vue-style-loader@1.0.0
106296 silly linkStuff vue-style-loader@1.0.0 has /www/lifecockpit/node_modules as its parent node_modules
106297 verbose linkBins vue-style-loader@1.0.0
106298 verbose linkMans vue-style-loader@1.0.0
106299 silly build vue-template-validator@1.1.5
106300 info linkStuff vue-template-validator@1.1.5
106301 silly linkStuff vue-template-validator@1.1.5 has /www/lifecockpit/node_modules as its parent node_modules
106302 verbose linkBins vue-template-validator@1.1.5
106303 verbose linkMans vue-template-validator@1.1.5
106304 silly build vue-loader@8.7.0
106305 info linkStuff vue-loader@8.7.0
106306 silly linkStuff vue-loader@8.7.0 has /www/lifecockpit/node_modules as its parent node_modules
106307 verbose linkBins vue-loader@8.7.0
106308 verbose linkMans vue-loader@8.7.0
106309 silly build async@2.3.0
106310 info linkStuff async@2.3.0
106311 silly linkStuff async@2.3.0 has /www/lifecockpit/node_modules/watchpack/node_modules as its parent node_modules
106312 verbose linkBins async@2.3.0
106313 verbose linkMans async@2.3.0
106314 silly build graceful-fs@4.1.11
106315 info linkStuff graceful-fs@4.1.11
106316 silly linkStuff graceful-fs@4.1.11 has /www/lifecockpit/node_modules/watchpack/node_modules as its parent node_modules
106317 verbose linkBins graceful-fs@4.1.11
106318 verbose linkMans graceful-fs@4.1.11
106319 silly build watchpack@1.3.1
106320 info linkStuff watchpack@1.3.1
106321 silly linkStuff watchpack@1.3.1 has /www/lifecockpit/node_modules as its parent node_modules
106322 verbose linkBins watchpack@1.3.1
106323 verbose linkMans watchpack@1.3.1
106324 silly build source-map@0.4.4
106325 info linkStuff source-map@0.4.4
106326 silly linkStuff source-map@0.4.4 has /www/lifecockpit/node_modules/webpack-core/node_modules as its parent node_modules
106327 verbose linkBins source-map@0.4.4
106328 verbose linkMans source-map@0.4.4
106329 silly build webpack-core@0.6.9
106330 info linkStuff webpack-core@0.6.9
106331 silly linkStuff webpack-core@0.6.9 has /www/lifecockpit/node_modules as its parent node_modules
106332 verbose linkBins webpack-core@0.6.9
106333 verbose linkMans webpack-core@0.6.9
106334 silly build webpack-sources@0.1.5
106335 info linkStuff webpack-sources@0.1.5
106336 silly linkStuff webpack-sources@0.1.5 has /www/lifecockpit/node_modules as its parent node_modules
106337 verbose linkBins webpack-sources@0.1.5
106338 verbose linkMans webpack-sources@0.1.5
106339 silly build acorn@3.3.0
106340 info linkStuff acorn@3.3.0
106341 silly linkStuff acorn@3.3.0 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106342 verbose linkBins acorn@3.3.0
106343 verbose link bins [ { acorn: './bin/acorn' },
106343 verbose link bins   '/www/lifecockpit/node_modules/webpack-stream/node_modules/.bin',
106343 verbose link bins   false ]
106344 verbose linkMans acorn@3.3.0
106345 silly gentlyRm /www/lifecockpit/node_modules/webpack-stream/node_modules/.bin/acorn is being purged
106346 verbose gentlyRm don't care about contents; nuking /www/lifecockpit/node_modules/webpack-stream/node_modules/.bin/acorn
106347 silly build browserify-aes@0.4.0
106348 info linkStuff browserify-aes@0.4.0
106349 silly linkStuff browserify-aes@0.4.0 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106350 verbose linkBins browserify-aes@0.4.0
106351 verbose linkMans browserify-aes@0.4.0
106352 silly build memory-fs@0.2.0
106353 info linkStuff memory-fs@0.2.0
106354 silly linkStuff memory-fs@0.2.0 has /www/lifecockpit/node_modules/webpack-stream/node_modules/enhanced-resolve/node_modules as its parent node_modules
106355 verbose linkBins memory-fs@0.2.0
106356 verbose linkMans memory-fs@0.2.0
106357 silly build graceful-fs@4.1.11
106358 info linkStuff graceful-fs@4.1.11
106359 silly linkStuff graceful-fs@4.1.11 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106360 verbose linkBins graceful-fs@4.1.11
106361 verbose linkMans graceful-fs@4.1.11
106362 silly build interpret@0.6.6
106363 info linkStuff interpret@0.6.6
106364 silly linkStuff interpret@0.6.6 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106365 verbose linkBins interpret@0.6.6
106366 verbose linkMans interpret@0.6.6
106367 silly build isarray@1.0.0
106368 info linkStuff isarray@1.0.0
106369 silly linkStuff isarray@1.0.0 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106370 verbose linkBins isarray@1.0.0
106371 verbose linkMans isarray@1.0.0
106372 silly build readable-stream@2.2.6
106373 info linkStuff readable-stream@2.2.6
106374 silly linkStuff readable-stream@2.2.6 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106375 verbose linkBins readable-stream@2.2.6
106376 verbose linkMans readable-stream@2.2.6
106377 silly build ripemd160@0.2.0
106378 info linkStuff ripemd160@0.2.0
106379 silly linkStuff ripemd160@0.2.0 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106380 verbose linkBins ripemd160@0.2.0
106381 verbose linkMans ripemd160@0.2.0
106382 silly build sha.js@2.2.6
106383 info linkStuff sha.js@2.2.6
106384 silly linkStuff sha.js@2.2.6 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106385 verbose linkBins sha.js@2.2.6
106386 verbose link bins [ { 'sha.js': './bin.js' },
106386 verbose link bins   '/www/lifecockpit/node_modules/webpack-stream/node_modules/.bin',
106386 verbose link bins   false ]
106387 verbose linkMans sha.js@2.2.6
106388 silly gentlyRm /www/lifecockpit/node_modules/webpack-stream/node_modules/.bin/sha.js is being purged
106389 verbose gentlyRm don't care about contents; nuking /www/lifecockpit/node_modules/webpack-stream/node_modules/.bin/sha.js
106390 silly build crypto-browserify@3.3.0
106391 info linkStuff crypto-browserify@3.3.0
106392 silly linkStuff crypto-browserify@3.3.0 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106393 verbose linkBins crypto-browserify@3.3.0
106394 verbose linkMans crypto-browserify@3.3.0
106395 silly build supports-color@3.2.3
106396 info linkStuff supports-color@3.2.3
106397 silly linkStuff supports-color@3.2.3 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106398 verbose linkBins supports-color@3.2.3
106399 verbose linkMans supports-color@3.2.3
106400 silly build tapable@0.1.10
106401 info linkStuff tapable@0.1.10
106402 silly linkStuff tapable@0.1.10 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106403 verbose linkBins tapable@0.1.10
106404 verbose linkMans tapable@0.1.10
106405 silly build enhanced-resolve@0.9.1
106406 info linkStuff enhanced-resolve@0.9.1
106407 silly linkStuff enhanced-resolve@0.9.1 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106408 verbose linkBins enhanced-resolve@0.9.1
106409 verbose linkMans enhanced-resolve@0.9.1
106410 silly build timers-browserify@2.0.2
106411 info linkStuff timers-browserify@2.0.2
106412 silly linkStuff timers-browserify@2.0.2 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106413 verbose linkBins timers-browserify@2.0.2
106414 verbose linkMans timers-browserify@2.0.2
106415 silly build async@0.2.10
106416 info linkStuff async@0.2.10
106417 silly linkStuff async@0.2.10 has /www/lifecockpit/node_modules/webpack-stream/node_modules/uglify-js/node_modules as its parent node_modules
106418 verbose linkBins async@0.2.10
106419 verbose linkMans async@0.2.10
106420 silly build vinyl@1.2.0
106421 info linkStuff vinyl@1.2.0
106422 silly linkStuff vinyl@1.2.0 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106423 verbose linkBins vinyl@1.2.0
106424 verbose linkMans vinyl@1.2.0
106425 silly build async@0.9.2
106426 info linkStuff async@0.9.2
106427 silly linkStuff async@0.9.2 has /www/lifecockpit/node_modules/webpack-stream/node_modules/watchpack/node_modules as its parent node_modules
106428 verbose linkBins async@0.9.2
106429 verbose linkMans async@0.9.2
106430 silly build watchpack@0.2.9
106431 info linkStuff watchpack@0.2.9
106432 silly linkStuff watchpack@0.2.9 has /www/lifecockpit/node_modules/webpack-stream/node_modules as its parent node_modules
106433 verbose linkBins watchpack@0.2.9
106434 verbose linkMans watchpack@0.2.9
106435 silly build acorn@3.3.0
106436 info linkStuff acorn@3.3.0
106437 silly linkStuff acorn@3.3.0 has /www/lifecockpit/node_modules/webpack/node_modules as its parent node_modules
106438 verbose linkBins acorn@3.3.0
106439 verbose link bins [ { acorn: './bin/acorn' },
106439 verbose link bins   '/www/lifecockpit/node_modules/webpack/node_modules/.bin',
106439 verbose link bins   false ]
106440 verbose linkMans acorn@3.3.0
106441 silly gentlyRm /www/lifecockpit/node_modules/webpack/node_modules/.bin/acorn is being purged
106442 verbose gentlyRm don't care about contents; nuking /www/lifecockpit/node_modules/webpack/node_modules/.bin/acorn
106443 silly build camelcase@1.2.1
106444 info linkStuff camelcase@1.2.1
106445 silly linkStuff camelcase@1.2.1 has /www/lifecockpit/node_modules/webpack/node_modules as its parent node_modules
106446 verbose linkBins camelcase@1.2.1
106447 verbose linkMans camelcase@1.2.1
106448 silly build lodash.assign@4.2.0
106449 info linkStuff lodash.assign@4.2.0
106450 silly linkStuff lodash.assign@4.2.0 has /www/lifecockpit/node_modules/webpack/node_modules as its parent node_modules
106451 verbose linkBins lodash.assign@4.2.0
106452 verbose linkMans lodash.assign@4.2.0
106453 silly build supports-color@3.2.3
106454 info linkStuff supports-color@3.2.3
106455 silly linkStuff supports-color@3.2.3 has /www/lifecockpit/node_modules/webpack/node_modules as its parent node_modules
106456 verbose linkBins supports-color@3.2.3
106457 verbose linkMans supports-color@3.2.3
106458 silly build async@0.2.10
106459 info linkStuff async@0.2.10
106460 silly linkStuff async@0.2.10 has /www/lifecockpit/node_modules/webpack/node_modules/uglify-js/node_modules as its parent node_modules
106461 verbose linkBins async@0.2.10
106462 verbose linkMans async@0.2.10
106463 silly build window-size@0.2.0
106464 info linkStuff window-size@0.2.0
106465 silly linkStuff window-size@0.2.0 has /www/lifecockpit/node_modules/webpack/node_modules/yargs/node_modules as its parent node_modules
106466 verbose linkBins window-size@0.2.0
106467 verbose link bins [ { 'window-size': 'cli.js' },
106467 verbose link bins   '/www/lifecockpit/node_modules/webpack/node_modules/yargs/node_modules/.bin',
106467 verbose link bins   false ]
106468 verbose linkMans window-size@0.2.0
106469 silly gentlyRm /www/lifecockpit/node_modules/webpack/node_modules/yargs/node_modules/.bin/window-size is being purged
106470 verbose gentlyRm don't care about contents; nuking /www/lifecockpit/node_modules/webpack/node_modules/yargs/node_modules/.bin/window-size
106471 silly build when@3.7.8
106472 info linkStuff when@3.7.8
106473 silly linkStuff when@3.7.8 has /www/lifecockpit/node_modules as its parent node_modules
106474 verbose linkBins when@3.7.8
106475 verbose linkMans when@3.7.8
106476 silly build whet.extend@0.9.9
106477 info linkStuff whet.extend@0.9.9
106478 silly linkStuff whet.extend@0.9.9 has /www/lifecockpit/node_modules as its parent node_modules
106479 verbose linkBins whet.extend@0.9.9
106480 verbose linkMans whet.extend@0.9.9
106481 silly build svgo@0.7.2
106482 info linkStuff svgo@0.7.2
106483 silly linkStuff svgo@0.7.2 has /www/lifecockpit/node_modules as its parent node_modules
106484 verbose linkBins svgo@0.7.2
106485 verbose link bins [ { svgo: './bin/svgo' },
106485 verbose link bins   '/www/lifecockpit/node_modules/.bin',
106485 verbose link bins   false ]
106486 verbose linkMans svgo@0.7.2
106487 silly build postcss-svgo@2.1.6
106488 info linkStuff postcss-svgo@2.1.6
106489 silly linkStuff postcss-svgo@2.1.6 has /www/lifecockpit/node_modules as its parent node_modules
106490 verbose linkBins postcss-svgo@2.1.6
106491 verbose linkMans postcss-svgo@2.1.6
106492 silly build cssnano@3.10.0
106493 info linkStuff cssnano@3.10.0
106494 silly linkStuff cssnano@3.10.0 has /www/lifecockpit/node_modules as its parent node_modules
106495 verbose linkBins cssnano@3.10.0
106496 verbose linkMans cssnano@3.10.0
106497 silly build css-loader@0.23.1
106498 info linkStuff css-loader@0.23.1
106499 silly linkStuff css-loader@0.23.1 has /www/lifecockpit/node_modules as its parent node_modules
106500 verbose linkBins css-loader@0.23.1
106501 verbose linkMans css-loader@0.23.1
106502 silly build which@1.2.14
106503 info linkStuff which@1.2.14
106504 silly linkStuff which@1.2.14 has /www/lifecockpit/node_modules as its parent node_modules
106505 verbose linkBins which@1.2.14
106506 verbose link bins [ { which: './bin/which' },
106506 verbose link bins   '/www/lifecockpit/node_modules/.bin',
106506 verbose link bins   false ]
106507 verbose linkMans which@1.2.14
106508 silly build global-prefix@0.1.5
106509 info linkStuff global-prefix@0.1.5
106510 silly linkStuff global-prefix@0.1.5 has /www/lifecockpit/node_modules as its parent node_modules
106511 verbose linkBins global-prefix@0.1.5
106512 verbose linkMans global-prefix@0.1.5
106513 silly build global-modules@0.2.3
106514 info linkStuff global-modules@0.2.3
106515 silly linkStuff global-modules@0.2.3 has /www/lifecockpit/node_modules as its parent node_modules
106516 verbose linkBins global-modules@0.2.3
106517 verbose linkMans global-modules@0.2.3
106518 silly build resolve-dir@0.1.1
106519 info linkStuff resolve-dir@0.1.1
106520 silly linkStuff resolve-dir@0.1.1 has /www/lifecockpit/node_modules as its parent node_modules
106521 verbose linkBins resolve-dir@0.1.1
106522 verbose linkMans resolve-dir@0.1.1
106523 silly build findup-sync@0.4.3
106524 info linkStuff findup-sync@0.4.3
106525 silly linkStuff findup-sync@0.4.3 has /www/lifecockpit/node_modules as its parent node_modules
106526 verbose linkBins findup-sync@0.4.3
106527 verbose linkMans findup-sync@0.4.3
106528 silly build gulp-load-plugins@1.5.0
106529 info linkStuff gulp-load-plugins@1.5.0
106530 silly linkStuff gulp-load-plugins@1.5.0 has /www/lifecockpit/node_modules as its parent node_modules
106531 verbose linkBins gulp-load-plugins@1.5.0
106532 verbose linkMans gulp-load-plugins@1.5.0
106533 silly build liftoff@2.3.0
106534 info linkStuff liftoff@2.3.0
106535 silly linkStuff liftoff@2.3.0 has /www/lifecockpit/node_modules as its parent node_modules
106536 verbose linkBins liftoff@2.3.0
106537 verbose linkMans liftoff@2.3.0
106538 silly build node-notifier@4.6.1
106539 info linkStuff node-notifier@4.6.1
106540 silly linkStuff node-notifier@4.6.1 has /www/lifecockpit/node_modules as its parent node_modules
106541 verbose linkBins node-notifier@4.6.1
106542 verbose link bins [ { notify: './bin.js' },
106542 verbose link bins   '/www/lifecockpit/node_modules/.bin',
106542 verbose link bins   false ]
106543 verbose linkMans node-notifier@4.6.1
106544 silly build which-module@1.0.0
106545 info linkStuff which-module@1.0.0
106546 silly linkStuff which-module@1.0.0 has /www/lifecockpit/node_modules as its parent node_modules
106547 verbose linkBins which-module@1.0.0
106548 verbose linkMans which-module@1.0.0
106549 silly build wide-align@1.1.0
106550 info linkStuff wide-align@1.1.0
106551 silly linkStuff wide-align@1.1.0 has /www/lifecockpit/node_modules as its parent node_modules
106552 verbose linkBins wide-align@1.1.0
106553 verbose linkMans wide-align@1.1.0
106554 silly build gauge@2.7.3
106555 info linkStuff gauge@2.7.3
106556 silly linkStuff gauge@2.7.3 has /www/lifecockpit/node_modules as its parent node_modules
106557 verbose linkBins gauge@2.7.3
106558 verbose linkMans gauge@2.7.3
106559 silly build npmlog@4.0.2
106560 info linkStuff npmlog@4.0.2
106561 silly linkStuff npmlog@4.0.2 has /www/lifecockpit/node_modules as its parent node_modules
106562 verbose linkBins npmlog@4.0.2
106563 verbose linkMans npmlog@4.0.2
106564 silly build window-size@0.1.0
106565 info linkStuff window-size@0.1.0
106566 silly linkStuff window-size@0.1.0 has /www/lifecockpit/node_modules as its parent node_modules
106567 verbose linkBins window-size@0.1.0
106568 verbose linkMans window-size@0.1.0
106569 silly build wordwrap@0.0.2
106570 info linkStuff wordwrap@0.0.2
